2018-08-06T11:24:55.356Z - info: Website generation started at 19:24:55
2018-08-06T11:25:01.985Z - info: Building assets...
2018-08-06T11:25:29.727Z - info: Assets built
2018-08-06T11:25:29.727Z - info: Generating pages...
2018-08-06T11:26:24.489Z - info: Pages built
2018-08-06T11:26:25.361Z - info: Site data built
2018-08-06T11:26:25.361Z - info: Website generation complete! Total build time: 90.02s
2018-08-06T11:26:25.371Z - info: Generate Site durationMs=90030
2018-08-06T11:26:25.964Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_site" at http://127.0.0.1:8080
2018-08-06T11:26:25.964Z - info: Press CTRL+C to stop ...
2018-08-06T11:51:06.229Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\path.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\about\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\what\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\how\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\javaWorld\editions\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\installation\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\helloWorld\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\compiling\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\gettingStarted\running\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\primitiveTypes\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\variables\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\operators\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\dataTypes\arrays\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\branching\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\loops\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\controlFlow\methods\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\usingObjects\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\instanceMembers\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\passingObjects\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\objects\garbageCollection\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\definingClasses\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\gettersAndSetters\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\classes\classLevelMembers\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\api\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\stringClass\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\wrapperClasses\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\arraysClass\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\usefulClasses\scannerClass\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\basic\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\objectClass\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\interfaces\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\polymorphism\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\inheritance\abstractClassesAndMethods\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\what\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\common\definitions.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\exceptions\how\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\what\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\generics\how\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\what\text.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\unit-inParent-asPanel.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_markbind\boilerplates\container-inParent-asPanel.md,C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\cppToJava\collections\text.md
2018-08-06T11:51:06.400Z - info: Rebuilding 590 pages
2018-08-06T11:51:49.068Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\about\usage.md
2018-08-06T11:51:49.069Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\clientServer\text.md
2018-08-06T11:51:49.069Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\clientServer\what\text.md
2018-08-06T11:51:49.616Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\eventDriven\text.md
2018-08-06T11:51:49.616Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\eventDriven\what\text.md
2018-08-06T11:51:49.617Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\introduction\what\text.md
2018-08-06T11:51:49.617Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\introduction\path.md
2018-08-06T11:51:49.617Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\text.md
